"intBiotaAssociateID","intBiotaID","tintAssocType","intAssocBiotaID","vchrAssocBiotaText","vchrRelationForward","vchrRelationReverse","intRefID","vchrRefPage","bitUncertain","txtNotes","GUID"
"2219","61110","0","70028","","has synonym","is a synonym of","","","False","","{99B6F066-87B5-42B7-A1DE-0F66789CFF0A}"
"2220","70028","0","61110","","is a synonym of","has synonym","","","False","","{8213CE30-AA45-45CA-80C5-810FDD29A0EE}"
"2221","61117","0","61150","","has synonym","is a synonym of","","","False","","{968C2970-BB64-437A-A849-1DDC7C29E209}"
"2222","61150","0","61117","","is a synonym of","has synonym","","","False","","{D2AD9EB0-3CB3-4A6E-9728-57A7A470F70E}"
"2227","61127","0","70036","","has synonym","is a synonym of","","","False","","{582A46DA-752E-408A-A31D-7D484C4CB7CF}"
"2228","70036","0","61127","","is a synonym of","has synonym","","","False","","{CC226B90-D7E2-44AB-93C4-49EB572D875A}"
"2229","61127","0","70102","","has synonym","is a synonym of","","","False","","{BB568F4B-4C83-4846-98CD-31391E5FC3EB}"
"2231","61127","0","70104","","has synonym","is a synonym of","","","False","","{8BE6553F-CA4F-48FF-ABED-DCEF6F090887}"
"2236","56992","0","61212","","is a synonym of","has synonym","","","False","","{8512E90E-5ADA-4DB2-AA9C-18208C07E36F}"
"2237","61212","0","56994","","has synonym","is a synonym of","","","False","","{C3108EEC-89E8-4974-B55B-5280473C514B}"
"2238","56994","0","61212","","is a synonym of","has synonym","","","False","","{06E051E2-8219-4430-BA41-8F837030018B}"
"2239","61212","0","72314","","has synonym","is a synonym of","","","False","","{9B372F17-C122-4AC9-9216-A07885763210}"
"2244","77147","0","61212","","is a synonym of","has synonym","","","False","","{A5612B95-5B63-4E9F-9E0E-326F8BE7C3ED}"
"2245","61212","0","77242","","has synonym","is a synonym of","","","False","","{58361107-A313-477B-AA42-D348BEF031C0}"
"2246","77242","0","61212","","is a synonym of","has synonym","","","False","","{C0817076-7E0C-4B8E-818A-D5C7EE476A5A}"
"2247","61212","0","77330","","has synonym","is a synonym of","","","False","","{B3C5381A-90EA-4AB5-8146-58DC6FF376C9}"
